0/100  Train loss: 0.5107303857803345
1/100  Train loss: 10.698921203613281
2/100  Train loss: 8.25142765045166
3/100  Train loss: 7.262467861175537
4/100  Train loss: 6.033073902130127
5/100  Train loss: 5.599473476409912
6/100  Train loss: 4.691842079162598
7/100  Train loss: 3.6314775943756104
8/100  Train loss: 3.3923745155334473
9/100  Train loss: 4.152443885803223
10/100  Train loss: 2.8379106521606445
11/100  Train loss: 1.4383172988891602
12/100  Train loss: 1.1770879030227661
13/100  Train loss: 1.0328289270401
14/100  Train loss: 0.9320915937423706
15/100  Train loss: 0.9194217324256897
16/100  Train loss: 3.4653663635253906
17/100  Train loss: 0.6586717367172241
18/100  Train loss: 0.7630864977836609
19/100  Train loss: 0.5718134641647339
20/100  Train loss: 3.4175758361816406
21/100  Train loss: 0.8681056499481201
22/100  Train loss: 2.7812089920043945
23/100  Train loss: 0.6760883927345276
