Item code,Item Description,Designator,X,Y,Rotation,Layer,Comment
CAN-0004A-01A-BOT,CW-121,C1,5565,71170,0,0,270058
CAN-0004A-01A-BOT,CW-121,C2,5545,65540,180000,0,270058
CAN-0004A-01A-BOT,CW-121,C3,2415,71150,0,0,286092
CAN-0004A-01A-BOT,CW-121,C4,2415,65540,180000,0,286092
CAN-0004A-01A-BOT,CW-121,C5,527,28668,90000,0,270058
CAN-0004A-01A-BOT,CW-121,C6,39655,61900,180000,0,270058
CAN-0004A-01A-BOT,CW-121,IC1,17495,46780,-90000,0,523580
CAN-0004A-01A-BOT,CW-121,IC2,14095,70270,0,0,520771
CAN-0004A-01A-BOT,CW-121,R1,30690,47320,0,0,166347
CAN-0004A-01A-BOT,CW-121,R2,34305,49195,180000,0,166347
CAN-0004A-01A-BOT,CW-121,R3,-2905,55490,-90000,0,166055
CAN-0004A-01A-BOT,CW-121,R4,27890,47240,0,0,166066
CAN-0004A-01A-BOT,CW-121,T1,34325,44785,-90000,0,420397
CAN-0004A-01A-BOT,CW-121,U$1,-6756,62569,180000,0,820538
